Name;Sector;Lat;Long;PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year)
CIMENTOS NASSAU 04 -SE;Portland cement;-10.852390;-37.125244;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 05 -ES;Portland cement;-20.855907;-41.130535;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 06 -CE;Portland cement;-7.298959;-39.303019;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 10 -PA;Portland cement;-1.207739;-47.170325;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 07 -AM;Portland cement;-3.056088;-59.849599;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 08 -PA;Portland cement;-4.267029;-56.007272;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 09 -PA;Portland cement;-1.429743;-48.438010;0.120888889;138.7448889;69.43288889
HOLCIM BRASIL S.A. - CIMENTO – CANTAGALO -RJ;Portland cement;-21.977067;-42.286139;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CONCRETO – DIVINÓPOLIS -MG;Portland cement;-20.160727;-44.892032;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CONCRETO – GUARUJÁ -SP;Portland cement;-23.959117;-46.255982;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CONCRETO - JUIZ DE FORA -MG;Portland cement;-21.753143;-43.389390;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - AGREGADOS – MAGÉ -RJ;Portland cement;-22.653680;-43.052561;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - AGREGADOS – MAIRIPORÃ - SP;Portland cement;-23.336447;-46.586311;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CIMENTO - PEDRO LEOPOLDO -MG;Portland cement;-19.624273;-44.040915;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CONCRETO - POUSO ALEGRE - MG;Portland cement;-22.231076;-45.920249;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CONCRETO - RIBEIRÃO PRETO -SP;Portland cement;-21.178525;-47.868254;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CONCRETO - SÃO JOSÉ DOS CAMPOS -SP;Portland cement;-23.208757;-45.926235;0.063142857;72.46942857;36.26628571
