Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year)
PRIMO TEDESCO - SC;Paper and cellulose;-26.782639;-51.044326;0.01482125;0.0296425;0.022231875
PRIMO TEDESCO - RS;Paper and cellulose;-29.961783;-51.189878;0.01482125;0.0296425;0.022231875
SANTHER  -SP;Paper and cellulose;-23.533242;-46.547686;0.025;0.05;0.0375
SANTHER  - MG;Paper and cellulose;-18.716729;-42.238401;0.025;0.05;0.0375
SANTHER - RS;Paper and cellulose;-30.167960;-51.333678;0.025;0.05;0.0375
SANTHER - SP;Paper and cellulose;-22.902531;-46.546847;0.025;0.05;0.0375
SUZANO - SP;Paper and cellulose;-23.520544;-46.295746;0.151451714;0.302903429;0.227177571
SUZANO - SP;Paper and cellulose;-23.496345;-46.330388;0.151451714;0.302903429;0.227177571
SUZANO - SP;Paper and cellulose;-23.663960;-46.850741;0.151451714;0.302903429;0.227177571
SUZANO - SP;Paper and cellulose;-22.568770;-47.404516;0.151451714;0.302903429;0.227177571
SUZANO - BA;Paper and cellulose;-12.866852;-38.383371;0.151451714;0.302903429;0.227177571
SUZANO - BA;Paper and cellulose;-18.039745;-39.924039;0.151451714;0.302903429;0.227177571
SUZANO - MA;Paper and cellulose;-5.545537;-47.468471;0.151451714;0.302903429;0.227177571
CENIBRA -MG;Paper and cellulose;-19.220002;-42.482508;0.082748714;0.165497429;0.124123071
CENIBRA -MG;Paper and cellulose;-19.222677;-42.476795;0.082748714;0.165497429;0.124123071
CENIBRA - MG;Paper and cellulose;-19.320151;-42.391747;0.082748714;0.165497429;0.124123071
CENIBRA - MG;Paper and cellulose;-19.319585;-42.368663;0.082748714;0.165497429;0.124123071
CENIBRA -MG;Paper and cellulose;-19.419312;-42.406586;0.082748714;0.165497429;0.124123071
CENIBRA - MG;Paper and cellulose;-19.768797;-43.028113;0.082748714;0.165497429;0.124123071
CENIBRA - ES;Paper and cellulose;-19.831908;-40.063578;0.082748714;0.165497429;0.124123071
GRUPO ORSA - SP;Paper and cellulose;-23.508624;-46.871881;0.054812;0.109624;0.082218
IGUAÇU -PR;Paper and cellulose;-25.532220;-49.203850;0.014098;0.028196;0.021147
IGUAÇU -PR;Paper and cellulose;-24.509953;-49.952286;0.014098;0.028196;0.021147
IGUAÇU -SC;Paper and cellulose;-27.398392;-51.238227;0.014098;0.028196;0.021147
IGUAÇU -SC;Paper and cellulose;-27.168166;-50.797874;0.014098;0.028196;0.021147
NORSKE SKOG PISA -PR;Paper and cellulose;-24.282425;-49.736546;0.086904;0.173808;0.130356
STORA ENSO - SP;Paper and cellulose;-23.562232;-46.661033;0.041205;0.08241;0.0618075
VERACEL - BA;Paper and cellulose;-16.371053;-39.588851;0.275089;0.550178;0.4126335
ALTA MOGIANA;Bagasse TPP;-20.567944;-47.868641;0.12096;0.15552;0.13824
BARRALCOOL;Bagasse TPP;-15.033815;-57.214277;0.048384;0.062208;0.055296
BATATAIS;Bagasse TPP;-20.745982;-47.569336;0.00628992;0.00808704;0.00718848
CAETÉ;Bagasse TPP;-9.776442;-36.086844;0.05773824;0.07423488;0.06598656
