Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
SÃO DOMINGOS;Bagasse TPP;-21.102280;-48.926866;0.0193536;0.0248832;0.0221184;NA;NA;NA;NA;NA;NA;0.0221184;0.3234816;0.1728;1.58976E-05;0.000020736;1.83168E-05;24.81408;32.34816;28.58112
MOEMA;Bagasse TPP;-20.254304;-49.292440;0.0387072;0.0497664;0.0442368;NA;NA;NA;NA;NA;NA;0.0442368;0.6469632;0.3456;3.17952E-05;0.000041472;3.66336E-05;49.62816;64.69632;57.16224
DIANA;Bagasse TPP;-21.474105;-49.934966;0.004633574;0.005957453;0.005295514;NA;NA;NA;NA;NA;NA;0.005295514;0.077446886;0.0413712;3.80615E-06;4.96454E-06;4.38535E-06;5.94090432;7.74468864;6.84279648
ÁGUA BONITA;Bagasse TPP;-22.736898;-50.580984;0.0274176;0.0352512;0.0313344;NA;NA;NA;NA;NA;NA;0.0313344;0.4582656;0.2448;2.25216E-05;0.000029376;2.59488E-05;35.15328;45.82656;40.48992
DESTILARIA GUARICANGA;Bagasse TPP;-22.106087;-49.435508;0.00258048;0.00331776;0.00294912;NA;NA;NA;NA;NA;NA;0.00294912;0.04313088;0.02304;2.11968E-06;2.7648E-06;2.44224E-06;3.308544;4.313088;3.810816
DESTILARIA MALOSSO;Bagasse TPP;-21.565808;-48.814681;0.0064512;0.0082944;0.0073728;NA;NA;NA;NA;NA;NA;0.0073728;0.1078272;0.0576;5.2992E-06;0.000006912;6.1056E-06;8.27136;10.78272;9.52704
CORACI;Bagasse TPP;-22.739705;-49.732398;0.002232115;0.002869862;0.002550989;NA;NA;NA;NA;NA;NA;0.002550989;0.037308211;0.0199296;1.83352E-06;2.39155E-06;2.11254E-06;2.86189056;3.73082112;3.29635584
TROMBINI;Bagasse TPP;-27.038020;-50.909358;0.007854336;0.010098432;0.008976384;NA;NA;NA;NA;NA;NA;0.008976384;0.131279616;0.070128;6.45178E-06;8.41536E-06;7.43357E-06;10.0703808;13.1279616;11.5991712
BENÁLCOOL;Bagasse TPP;-21.276938;-50.819852;0.00677376;0.00870912;0.00774144;NA;NA;NA;NA;NA;NA;0.00774144;0.11321856;0.06048;5.56416E-06;7.2576E-06;6.41088E-06;8.684928;11.321856;10.003392
SANTA LÚCIA;Bagasse TPP;-22.394696;-47.389969;0.00709632;0.00912384;0.00811008;NA;NA;NA;NA;NA;NA;0.00811008;0.11860992;0.06336;5.82912E-06;7.6032E-06;6.71616E-06;9.098496;11.860992;10.479744
