Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
AEROPORTO INTERNACIONAL DE SÃO PAULO/GUARULHOS-CENTRAL ELÉTRICA DE EMERGÊNCIA CEE;Diesel TPP;-23.467761;-46.542861;0.2480832;1.2278016;0.7379424;0.13203072;0.41375232;0.27289152;0.11100672;0.2817216;0.19636416;0.01345536;0.03616128;0.02480832;3.47316E-11;0.03616128;0.01808064;21.507552;59.33729664;40.42242432
VILA RICA;Diesel TPP;-10.020824;-51.115775;0.2390385;1.183038;0.71103825;0.1272171;0.3986676;0.26294235;0.1069596;0.2714505;0.18920505;0.0129648;0.0348429;0.02390385;3.34654E-11;0.0348429;0.01742145;20.7234225;57.1739577;38.9486901
NOVO PROGRESSO;Diesel TPP;-7.087150;-55.410206;0.23580825;1.167051;0.701429625;0.12549795;0.3932802;0.259389075;0.1055142;0.26778225;0.186648225;0.0127896;0.03437205;0.023580825;3.30132E-11;0.03437205;0.017186025;20.44337625;56.40133665;38.42235645
CENTRAL GERADORA DE EMERGÊNCIA - CSAC;Diesel TPP;-8.704117;-63.895762;0.23580825;1.167051;0.701429625;0.12549795;0.3932802;0.259389075;0.1055142;0.26778225;0.186648225;0.0127896;0.03437205;0.023580825;3.30132E-11;0.03437205;0.017186025;20.44337625;56.40133665;38.42235645
BREVES;Diesel TPP;-1.672924;-50.499516;0.224846074;1.112797517;0.668821795;0.119663843;0.374997519;0.247330681;0.100609091;0.255333677;0.177971384;0.012195041;0.032774173;0.022484607;3.14785E-11;0.032774173;0.016387087;19.4930113;53.77936985;36.63619058
LARANJAL DO JARI;Diesel TPP;-0.822257;-52.500278;0.22417935;1.1094978;0.666838575;0.11930901;0.37388556;0.246597285;0.10031076;0.25457655;0.177443655;0.01215888;0.03267699;0.022417935;3.13851E-11;0.03267699;0.016338495;19.43520975;53.61990087;36.52755531
ORIXIMINÁ;Diesel TPP;-1.765886;-55.851664;0.219202181;1.08486503;0.652033606;0.116660144;0.365584654;0.241122399;0.098083688;0.24892451;0.173504099;0.011888932;0.031951504;0.021920218;3.06883E-11;0.031951504;0.015975752;19.00371449;52.42944636;35.71658042
SÃO FRANCISCO DO GUAPORÉ;Diesel TPP;-12.072632;-63.559287;0.217641324;1.077140112;0.647390718;0.11582945;0.362981462;0.239405456;0.09738527;0.247152012;0.172268641;0.011804275;0.03172399;0.021764132;3.04698E-11;0.03172399;0.015861995;18.86839614;52.05611586;35.462256
APARECIDA PARTE II;Diesel TPP;-3.028549;-59.951998;0.2170728;1.0743264;0.6456996;0.11552688;0.36203328;0.23878008;0.09713088;0.2465064;0.17181864;0.01177344;0.03164112;0.02170728;3.03902E-11;0.03164112;0.01582056;18.819108;51.92013456;35.36962128
OIAPOQUE;Diesel TPP;3.837141;-51.828868;0.2131965;1.055142;0.63416925;0.1134639;0.3555684;0.23451615;0.0953964;0.2421045;0.16875045;0.0115632;0.0310761;0.02131965;2.98475E-11;0.0310761;0.01553805;18.4830525;50.9929893;34.7380209
SAPEZAL;Diesel TPP;-13.561296;-58.807770;0.21009546;1.03979448;0.62494497;0.111813516;0.350396496;0.231105006;0.094008816;0.23858298;0.166295898;0.011395008;0.030624084;0.021009546;2.94134E-11;0.030624084;0.015312042;18.2142081;50.25127309;34.2327406
VISTA ALEGRE DO ABUNÃ;Diesel TPP;-8.807949;-63.903659;0.20828652;1.03084176;0.61956414;0.110850792;0.347379552;0.229115172;0.093199392;0.23652876;0.164864076;0.011296896;0.030360408;0.020828652;2.91601E-11;0.030360408;0.015180204;18.0573822;49.8186053;33.93799375
MUNGUBA;Diesel TPP;-1.501644;-52.590907;0.206736;1.023168;0.614952;0.1100256;0.3447936;0.2274096;0.0925056;0.234768;0.1636368;0.0112128;0.0301344;0.0206736;2.8943E-11;0.0301344;0.0150672;17.92296;49.4477472;33.6853536
ALTEROSA;Diesel TPP;-19.828745;-44.602319;0.206736;1.023168;0.614952;0.1100256;0.3447936;0.2274096;0.0925056;0.234768;0.1636368;0.0112128;0.0301344;0.0206736;2.8943E-11;0.0301344;0.0150672;17.92296;49.4477472;33.6853536
HERMASA;Diesel TPP;-3.141802;-58.434466;0.19614078;0.97073064;0.58343571;0.104386788;0.327122928;0.215754858;0.087764688;0.22273614;0.155250414;0.010638144;0.028590012;0.019614078;2.74597E-11;0.028590012;0.014295006;17.0044083;46.91355016;31.95897923
SÃO JOSÉ DO RIO CLARO;Diesel TPP;-13.448112;-56.735056;0.19536552;0.96689376;0.58112964;0.103974192;0.325829952;0.214902072;0.087417792;0.22185576;0.154636776;0.010596096;0.028477008;0.019536552;2.73512E-11;0.028477008;0.014238504;16.9371972;46.7281211;31.83265915
CALÇADOS AZALÉIA;Diesel TPP;-15.347641;-40.019111;0.193815;0.95922;0.5765175;0.103149;0.323244;0.2131965;0.086724;0.220095;0.1534095;0.010512;0.028251;0.0193815;2.71341E-11;0.028251;0.0141255;16.802775;46.357263;31.580019
SANTANA DO ARAGUAIA;Diesel TPP;-9.339164;-50.330631;0.189804322;0.939370541;0.564587431;0.101014503;0.316555004;0.208784754;0.084929391;0.215540501;0.150234946;0.010294472;0.027666393;0.018980432;2.65726E-11;0.027666393;0.013833196;16.45506958;45.3979767;30.92652314
ITAÚSA;Diesel TPP;-23.525113;-46.727822;0.1886466;0.9336408;0.5611437;0.10039836;0.31462416;0.20751126;0.08441136;0.2142258;0.14931858;0.01023168;0.02749764;0.01886466;2.64105E-11;0.02749764;0.01374882;16.354701;45.12106932;30.73788516
CUJUBIM;Diesel TPP;-9.366478;-62.594616;0.172676244;0.854601072;0.513638658;0.091898882;0.287988854;0.189943868;0.077265302;0.196089972;0.136677637;0.009365491;0.025169758;0.017267624;2.41747E-11;0.025169758;0.012584879;14.97015234;41.30123085;28.13569159
MONTE ALEGRE;Diesel TPP;-1.987823;-54.085127;0.172262772;0.852554736;0.512408754;0.091678831;0.287299267;0.189489049;0.077080291;0.195620436;0.136350364;0.009343066;0.025109489;0.017226277;2.41168E-11;0.025109489;0.012554744;14.93430642;41.20233535;28.06832089
ITAUTINGA;Diesel TPP;-3.117517;-60.040974;0.16952352;0.83899776;0.50426064;0.090220992;0.282730752;0.186475872;0.075854592;0.19250976;0.134182176;0.009194496;0.024710208;0.016952352;2.37333E-11;0.024710208;0.012355104;14.6968272;40.5471527;27.62198995
3M SUMARÉ;Diesel TPP;-22.809053;-47.273350;0.1653888;0.8185344;0.4919616;0.08802048;0.27583488;0.18192768;0.07400448;0.1878144;0.13090944;0.00897024;0.02410752;0.01653888;2.31544E-11;0.02410752;0.01205376;14.338368;39.55819776;26.94828288
BORBA;Diesel TPP;-4.406794;-59.599754;0.16513038;0.81725544;0.49119291;0.087882948;0.275403888;0.181643418;0.073888848;0.18752094;0.130704894;0.008956224;0.024069852;0.016513038;2.31183E-11;0.024069852;0.012034926;14.3159643;39.49638808;26.90617619
EIRUNEPÉ;Diesel TPP;-6.850469;-70.242271;0.16357986;0.80958168;0.48658077;0.087057756;0.272817936;0.179937846;0.073195056;0.18576018;0.129477618;0.008872128;0.023843844;0.016357986;2.29012E-11;0.023843844;0.011921922;14.1815421;39.12552997;26.65353604
ALVORADA D´OESTE;Diesel TPP;-11.358026;-62.298663;0.163088862;0.807151656;0.485120259;0.086796445;0.271999051;0.179397748;0.072975355;0.185202606;0.129088981;0.008845498;0.023772275;0.016308886;2.28324E-11;0.023772275;0.011886137;14.13897507;39.00809157;26.57353332
LÁBREA;Diesel TPP;-7.266740;-64.782003;0.1628046;0.8057448;0.4842747;0.08664516;0.27152496;0.17908506;0.07284816;0.1848798;0.12886398;0.00883008;0.02373084;0.01628046;2.27926E-11;0.02373084;0.01186542;14.114331;38.94010092;26.52721596
AUTAZES;Diesel TPP;-3.584836;-59.116852;0.156137364;0.772747632;0.464442498;0.083096834;0.260405366;0.1717511;0.069864854;0.177308532;0.123586693;0.008468467;0.022759006;0.015613736;2.18592E-11;0.022759006;0.011379503;13.53631554;37.34541107;25.44086331
CASTANHO;Diesel TPP;-3.814581;-60.351126;0.155052;0.767376;0.461214;0.0825192;0.2585952;0.1705572;0.0693792;0.176076;0.1227276;0.0084096;0.0226008;0.0155052;2.17073E-11;0.0226008;0.0113004;13.44222;37.0858104;25.2640152
SÃO GABRIEL DA CACHOEIRA;Diesel TPP;-0.114796;-67.087488;0.1511757;0.7481916;0.44968365;0.08045622;0.25213032;0.16629327;0.06764472;0.1716741;0.11965941;0.00819936;0.02203578;0.01511757;2.11646E-11;0.02203578;0.01101789;13.1061645;36.15866514;24.63241482
ALCOA PORTO;Diesel TPP;-27.812284;-50.304971;0.145852248;0.721845024;0.433848636;0.077623061;0.243251885;0.160437473;0.065262701;0.165628824;0.115445762;0.00791063;0.021259819;0.014585225;2.04193E-11;0.021259819;0.01062991;12.64464828;34.88538565;23.76501696
MONTE DOURADO;Diesel TPP;-1.527495;-52.585298;0.14148495;0.7002306;0.420857775;0.07529877;0.23596812;0.155633445;0.06330852;0.16066935;0.111988935;0.00767376;0.02062323;0.014148495;1.98079E-11;0.02062323;0.010311615;12.26602575;33.84080199;23.05341387
TIVIT BARRA (ANTIGA OPTIGLOBE RIO);Diesel TPP;-23.041175;-43.554073;0.141469445;0.700153862;0.420811654;0.075290518;0.23594226;0.155616389;0.063301582;0.160651742;0.111976662;0.007672919;0.02062097;0.014146944;1.98057E-11;0.02062097;0.010310485;12.26468153;33.83709341;23.05088747
TIVIT TRANSAMÉRICA (ANTIGA OPTIGLOBE SÃO PAULO);Diesel TPP;-23.651232;-46.721660;0.141469445;0.700153862;0.420811654;0.075290518;0.23594226;0.155616389;0.063301582;0.160651742;0.111976662;0.007672919;0.02062097;0.014146944;1.98057E-11;0.02062097;0.010310485;12.26468153;33.83709341;23.05088747
EDIFÍCIO ROCHAVERÁ;Diesel TPP;-23.568234;-46.669525;0.14135574;0.69959112;0.42047343;0.075230004;0.235752624;0.155491314;0.063250704;0.16052262;0.111886662;0.007666752;0.020604396;0.014135574;1.97898E-11;0.020604396;0.010302198;12.2548239;33.80989715;23.03236052
CARAUARI;Diesel TPP;-4.867313;-66.898690;0.140993952;0.697800576;0.419397264;0.075037459;0.235149235;0.155093347;0.063088819;0.160111776;0.111600298;0.00764713;0.020551661;0.014099395;1.97392E-11;0.020551661;0.01027583;12.22345872;33.72336359;22.97341116
