Name;Sector;Lat;Long;CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
CORONA;Bagasse TPP;-21.364469;-48.238975;37.22112;48.52224;42.87168
ESTER;Bagasse TPP;-22.657480;-47.211152;95.947776;125.079552;110.513664
CENTRAL ENERGÉTICA RIBEIRÃO PRETO (ANTIGA GALO BRAVO);Bagasse TPP;-21.141021;-47.878869;18.61056;24.26112;21.43584
GALVANI;Bagasse TPP;-22.758781;-47.155066;23.78016;31.00032;27.39024
IRACEMA;Bagasse TPP;-22.586025;-47.529168;28.94976;37.73952;33.34464
VIRGOLINO DE OLIVEIRA - ITAPIRA;Bagasse TPP;-22.411839;-46.808829;11.993472;15.634944;13.814208
JARDEST;Bagasse TPP;-21.032484;-47.775844;16.54272;21.56544;19.05408
JUNQUEIRA;Bagasse TPP;-20.048841;-47.748235;14.888448;19.408896;17.148672
MARACAÍ;Bagasse TPP;-22.575942;-50.656559;96.8162688;126.2117376;111.5140032
MB;Bagasse TPP;-20.729511;-48.055077;33.912576;44.209152;39.060864
NARDINI;Bagasse TPP;-21.184680;-48.654292;111.66336;145.56672;128.61504
SANTA CRUZ AB (ANTIGA OMETTO);Bagasse TPP;-21.754836;-48.078402;178.661376;232.906752;205.784064
USINA DA PEDRA;Bagasse TPP;-21.241122;-47.566889;72.3744;94.3488;83.3616
RAFARD;Bagasse TPP;-23.009110;-47.532166;103.392;134.784;119.088
UNIVALEM;Bagasse TPP;-23.009110;-47.532166;16.54272;21.56544;19.05408
PUMATY;Bagasse TPP;-8.627504;-35.528606;16.6254336;21.6732672;19.1493504
VALE DO ROSÁRIO;Bagasse TPP;-20.740942;-48.055163;200.58048;261.48096;231.03072
VIRALCOOL;Bagasse TPP;-21.049411;-48.262212;41.3568;53.9136;47.6352
SÃO JOÃO;Bagasse TPP;-22.428728;-47.359755;24.81408;32.34816;28.58112
SÃO JOSÉ;Bagasse TPP;-22.491557;-48.782191;175.3631712;228.6071424;201.9851568
SÃO JOSÉ;Bagasse TPP;-22.860862;-47.624307;9.925632;12.939264;11.432448
SÃO LUIZ;Bagasse TPP;-22.026160;-47.429182;145.575936;189.775872;167.675904
SÃO MARTINHO;Bagasse TPP;-21.320081;-48.120490;150.95232;196.78464;173.86848
BARRA GRANDE DE LENÇÓIS;Bagasse TPP;-22.627929;-48.752271;130.067136;169.558272;149.812704
LDC BIOENERGIA LEME (ANTIGA COINBRA - CRESCIUMAL);Bagasse TPP;-22.205258;-47.386937;81.886464;106.748928;94.317696
J PILON;Bagasse TPP;-23.171224;-47.746025;7.857792;10.243584;9.050688
SÃO FRANCISCO;Bagasse TPP;-21.108655;-48.078612;52.109568;67.931136;60.020352
LUCÉLIA;Bagasse TPP;-21.724491;-51.021143;32.465088;42.322176;37.393632
BORTOLO CAROLO;Bagasse TPP;-21.009087;-47.993845;16.54272;21.56544;19.05408
FURLAN;Bagasse TPP;-22.763612;-47.411725;7.444224;9.704448;8.574336
SANTA ADÉLIA;Bagasse TPP;-21.252346;-48.325677;86.84928;113.21856;100.03392
RUETTE;Bagasse TPP;-21.044503;-48.720099;57.89952;75.47904;66.68928
