Name;Sector;Lat;Long;TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year)
CIPLAN CIMENTO 07 -MT;Portland cement;-15.654575;-55.992037;0.0056;0.036;0.0208
CIPLAN CIMENTO 08 -TO;Portland cement;-10.251419;-48.316118;0.0056;0.036;0.0208
CIPLAN CIMENTO 09 -MA;Portland cement;-2.577543;-44.184681;0.0056;0.036;0.0208
CIPLAN CIMENTO 10 -CE;Portland cement;-3.821836;-38.534104;0.0056;0.036;0.0208
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 01 - SP;Portland cement;-24.520263;-48.857340;0.090533333;0.582;0.336266667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 02 - MS;Portland cement;-20.539534;-56.712387;0.090533333;0.582;0.336266667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 03 - MG;Portland cement;-19.646808;-44.039242;0.090533333;0.582;0.336266667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 04 - MG;Portland cement;-19.473333;-42.510661;0.090533333;0.582;0.336266667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 05 -SP;Portland cement;-23.287650;-45.981025;0.090533333;0.582;0.336266667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 06 -MG;Portland cement;-21.194456;-44.937726;0.090533333;0.582;0.336266667
CELULOSE IRANI S.A. – 7 -SC;Paper and cellulose;-26.241080;-49.480054;0.118786033;0.118786033;0.118786033
CELULOSE IRANI S.A. – 8 - SC;Paper and cellulose;-26.872293;-51.793133;0.118786033;0.118786033;0.118786033
CELULOSE IRANI S.A. – 11 - RS;Paper and cellulose;-30.200620;-50.343635;0.118786033;0.118786033;0.118786033
FIBRIA – 2 – ES;Paper and cellulose;-19.844403;-40.268891;2.130645;2.130645;2.130645
FIBRIA – 3 – SP;Paper and cellulose;-23.371182;-46.026798;2.130645;2.130645;2.130645
FIBRIA – 4 – MS;Paper and cellulose;-20.997040;-51.795191;2.130645;2.130645;2.130645
FIBRIA - 5 – SP;Paper and cellulose;-24.005014;-48.326613;2.130645;2.130645;2.130645
FIBRIA – 6 – RS;Paper and cellulose;-31.771171;-52.458412;2.130645;2.130645;2.130645
FIBRIA – 7 – ES;Paper and cellulose;-18.522464;-39.759109;2.130645;2.130645;2.130645
FIBRIA – 8 -BA;Paper and cellulose;-17.887091;-39.840772;2.130645;2.130645;2.130645
FIBRIA – 9 – MS;Paper and cellulose;-20.897987;-51.757535;2.130645;2.130645;2.130645
INTERNATIONAL PAPER – 2 - SP;Paper and cellulose;-22.133874;-47.002021;0.999764667;0.999764667;0.999764667
INTERNATIONAL PAPER – 3 - SP;Paper and cellulose;-21.485416;-47.766701;0.999764667;0.999764667;0.999764667
INTERNATIONAL PAPER – 4 - MS;Paper and cellulose;-20.761102;-51.726300;0.999764667;0.999764667;0.999764667
JARI CELULOSE - PA;Paper and cellulose;-0.924500;-52.432458;1.4442802;1.4442802;1.4442802
KLABIN 2 - SP;Paper and cellulose;-22.685867;-47.675489;0.325751047;0.325751047;0.325751047
KLABIN 3 - SP;Paper and cellulose;-23.482352;-48.408956;0.325751047;0.325751047;0.325751047
KLABIN 4 - MG;Paper and cellulose;-19.994185;-44.192549;0.325751047;0.325751047;0.325751047
