Name;Sector;Lat;Long;SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year)
HOLCIM BRASIL S.A. - AGREGADOS – MAGÉ -RJ;Portland cement;-22.653680;-43.052561;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - AGREGADOS – MAIRIPORÃ - SP;Portland cement;-23.336447;-46.586311;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CIMENTO - PEDRO LEOPOLDO -MG;Portland cement;-19.624273;-44.040915;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CONCRETO - POUSO ALEGRE - MG;Portland cement;-22.231076;-45.920249;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CONCRETO - RIBEIRÃO PRETO -SP;Portland cement;-21.178525;-47.868254;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CONCRETO - SÃO JOSÉ DOS CAMPOS -SP;Portland cement;-23.208757;-45.926235;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CONCRETO - SÃO VICENTE -SP;Portland cement;-23.959126;-46.423138;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CIMENTO – VITÓRIA -ES;Portland cement;-20.242077;-40.238906;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - AGREGADOS – SOROCABA -SP;Portland cement;-23.484882;-47.468896;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CIMENTO – SOROCABA -SP;Portland cement;-23.475375;-47.486575;0.100285714;1.82;0.960142857
CIPLAN CIMENTO 01 -SP ;Portland cement;-21.180156;-47.846477;0.054;0.98;0.517
CIPLAN CIMENTO 02 -MG;Portland cement;-19.727424;-47.957490;0.054;0.98;0.517
CIPLAN CIMENTO 03 -MG;Portland cement;-18.862349;-48.283316;0.054;0.98;0.517
CIPLAN CIMENTO 04 -SP;Portland cement;-16.402601;-48.934383;0.054;0.98;0.517
CIPLAN CIMENTO 04 -GO;Portland cement;-17.740948;-48.637597;0.054;0.98;0.517
CIPLAN CIMENTO 05 -GO;Portland cement;-16.708853;-49.205520;0.054;0.98;0.517
CIPLAN CIMENTO 06 -GO;Portland cement;-16.064671;-47.965549;0.054;0.98;0.517
CIPLAN CIMENTO 07 -MT;Portland cement;-15.654575;-55.992037;0.054;0.98;0.517
CIPLAN CIMENTO 08 -TO;Portland cement;-10.251419;-48.316118;0.054;0.98;0.517
CIPLAN CIMENTO 09 -MA;Portland cement;-2.577543;-44.184681;0.054;0.98;0.517
CIPLAN CIMENTO 10 -CE;Portland cement;-3.821836;-38.534104;0.054;0.98;0.517
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 01 - SP;Portland cement;-24.520263;-48.857340;0.873;15.84333333;8.358166667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 02 - MS;Portland cement;-20.539534;-56.712387;0.873;15.84333333;8.358166667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 03 - MG;Portland cement;-19.646808;-44.039242;0.873;15.84333333;8.358166667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 04 - MG;Portland cement;-19.473333;-42.510661;0.873;15.84333333;8.358166667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 05 -SP;Portland cement;-23.287650;-45.981025;0.873;15.84333333;8.358166667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 06 -MG;Portland cement;-21.194456;-44.937726;0.873;15.84333333;8.358166667
CELULOSE IRANI S.A. – 7 -SC;Paper and cellulose;-26.241080;-49.480054;0.112365167;0.224730333;0.16854775
CELULOSE IRANI S.A. – 8 - SC;Paper and cellulose;-26.872293;-51.793133;0.112365167;0.224730333;0.16854775
CELULOSE IRANI S.A. – 11 - RS;Paper and cellulose;-30.200620;-50.343635;0.112365167;0.224730333;0.16854775
FIBRIA – 2 – ES;Paper and cellulose;-19.844403;-40.268891;2.015475;4.03095;3.0232125
FIBRIA – 3 – SP;Paper and cellulose;-23.371182;-46.026798;2.015475;4.03095;3.0232125
FIBRIA – 4 – MS;Paper and cellulose;-20.997040;-51.795191;2.015475;4.03095;3.0232125
FIBRIA - 5 – SP;Paper and cellulose;-24.005014;-48.326613;2.015475;4.03095;3.0232125
FIBRIA – 6 – RS;Paper and cellulose;-31.771171;-52.458412;2.015475;4.03095;3.0232125
FIBRIA – 7 – ES;Paper and cellulose;-18.522464;-39.759109;2.015475;4.03095;3.0232125
FIBRIA – 8 -BA;Paper and cellulose;-17.887091;-39.840772;2.015475;4.03095;3.0232125
FIBRIA – 9 – MS;Paper and cellulose;-20.897987;-51.757535;2.015475;4.03095;3.0232125
INTERNATIONAL PAPER – 2 - SP;Paper and cellulose;-22.133874;-47.002021;0.945723333;1.891446667;1.418585
INTERNATIONAL PAPER – 3 - SP;Paper and cellulose;-21.485416;-47.766701;0.945723333;1.891446667;1.418585
INTERNATIONAL PAPER – 4 - MS;Paper and cellulose;-20.761102;-51.726300;0.945723333;1.891446667;1.418585
JARI CELULOSE - PA;Paper and cellulose;-0.924500;-52.432458;1.366211;2.732422;2.0493165
KLABIN 2 - SP;Paper and cellulose;-22.685867;-47.675489;0.308142882;0.616285765;0.462214324
KLABIN 3 - SP;Paper and cellulose;-23.482352;-48.408956;0.308142882;0.616285765;0.462214324
KLABIN 4 - MG;Paper and cellulose;-19.994185;-44.192549;0.308142882;0.616285765;0.462214324
KLABIN 5 - SC;Paper and cellulose;-27.546573;-50.364285;0.308142882;0.616285765;0.462214324
KLABIN 6 - BA;Paper and cellulose;-12.293665;-38.965325;0.308142882;0.616285765;0.462214324
KLABIN 7 - PE;Paper and cellulose;-7.588721;-35.006407;0.308142882;0.616285765;0.462214324
KLABIN 8 - RJ;Paper and cellulose;-22.588770;-43.016729;0.308142882;0.616285765;0.462214324
KLABIN 9 - SC;Paper and cellulose;-26.894836;-48.710662;0.308142882;0.616285765;0.462214324
KLABIN 10 - SP;Paper and cellulose;-23.225062;-47.026950;0.308142882;0.616285765;0.462214324
